StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q33,Q13,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q34,Q17,Q17_9_TEXT,Q20,Q22,Q22_9_TEXT,Q23,Q24_1,Q24_2,Q24_3,Q25,Q26_1,Q26_2,Q26_3,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_10,Q35,Q31,Q32,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q37,Q37_8_TEXT,Q38,Q39_1,Q39_2,Q2,Q3,Q3_5_TEXT,Q1,Q5,Q5_5_TEXT,country,Q37,Q7,Q8,Q9,Q40,Q40_Themes
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,Do you engage in birdwatching activities locally (within 2hrs by car of your home) ?,How often do you engage in local (within 2hrs by car of your home) birdwatching activities per month?,"What are the most important factors when visiting local (within 2hrs by car of your home) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Reporting or looking for rare species","What are the most important factors when visiting local (within 2hrs by car of your home) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Growing my (county/state/life) bird list","What are the most important factors when visiting local (within 2hrs by car of your home) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Long-term monitoring of birding sites","What are the most important factors when visiting local (within 2hrs by car of your home) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Exploring new birdwatching sites","What are the most important factors when visiting local (within 2hrs by car of your home) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Meeting and socializing with other birdwatchers",Please mention any other factors that are important to you when visiting local birdwatching sites (optional),Do you engage in bird watching activities in-country (more than 2hrs by car from your home but within your country of residence)?,How often do you engage in bird watching activities in-country (more than 2hrs by car from your home but within your country of residence)?,"What are the most important factors when visiting in-country (more than 2hrs by car from your home but within your country of residence) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Reporting or looking for rare species","What are the most important factors when visiting in-country (more than 2hrs by car from your home but within your country of residence) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Growing my (county/state/life) bird list","What are the most important factors when visiting in-country (more than 2hrs by car from your home but within your country of residence) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Long-term monitoring of birding sites","What are the most important factors when visiting in-country (more than 2hrs by car from your home but within your country of residence) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Exploring new birdwatching sites","What are the most important factors when visiting in-country (more than 2hrs by car from your home but within your country of residence) birdwatching sites? 
Rank by entering a number from 1 to 5 ( 1= most important factor; 5=least important factor) - only use each number once - Meeting and socializing with other birdwatchers",Please mention any other factors that are important to you when visiting in-country birdwatching sites (optional),Why have you not traveled more than 2hrs by car from your home for birdwatching? (check all that apply) - Selected Choice,Why have you not traveled more than 2hrs by car from your home for birdwatching? (check all that apply) - Other (please specify) - Text,Do you engage in birdwatching activities internationally (outside your country of residence)?,Why have you not traveled internationally for birdwatching? (check all that apply) - Selected Choice,Why have you not traveled internationally for birdwatching? (check all that apply) - Other (please specify) - Text,"In the future, would you like to travel internationally to engage in birdwatching activities?","If you were to go birdwatching internationally, which three countries would you hope to visit first? - 1st","If you were to go birdwatching internationally, which three countries would you hope to visit first? - 2nd","If you were to go birdwatching internationally, which three countries would you hope to visit first? - 3rd","How many countries have you visited for birdwatching, excluding your country of residence? Write an approximate number if you don’t remember.",Please list the last 3 countries you visited for birdwatching - Most recent,Please list the last 3 countries you visited for birdwatching - 2nd,Please list the last 3 countries you visited for birdwatching - 3rd,"Please list the next 3 countries you plan to, or hope to, visit next for birdwatching - 1st","Please list the next 3 countries you plan to, or hope to, visit next for birdwatching - 2nd","Please list the next 3 countries you plan to, or hope to, visit next for birdwatching - 3rd","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Overall bird diversity","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Endemic and rare bird species","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Potential to add the most new birds to your life list","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Good tour companies","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Good local guides","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Safety","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Access infrastructure so that I can travel by myself (e.g. roads, rental car)","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Lodging infrastructure","When you select an international country to visit for birdwatching what aspects do you consider to be the most important? 
Rank by entering a number from 1 to 9 ( 1= most important factor; 9=least important factor) - only enter each number once - Availability of non-birdwatching activities (e.g. culture, gastronomic, other nature tourism)",Please mention any other factors that are important to you when visiting international birdwatching sites (optional),"This section aims at understanding international birdwatching trips. For the purposes of this survey, we define an international birdwatching trip as one that involves incurring some expense paid to a specialized birdwatching guide, lodge, company, and/or festival/fair.



Please check all that apply if you have participated in these.",How often do you travel alone versus in a group of birdwatchers on international birdwatching trips?,"The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - High bird species diversity","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Opportunities to see rare and/or endemic birds","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Personal safety","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Cost","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Experienced and knowledgeable (non local) tour guides","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Experienced and knowledgeable (local) tour guides","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Well-planned itineraries and birdwatching spots","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Bird photography opportunities","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Access to bird blinds and feeders (nectar, fruit, grains, moth)","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Focus on conservation, sustainability, and support for local communities","The next set of 11 questions are all on a likert scale, ranked in terms of importance



How important is/are the following factors when selecting an international birdwatching trip - Lodging infrastructure",How do you typically gather information about birdwatching trips? (Select all that apply) - Selected Choice,How do you typically gather information about birdwatching trips? (Select all that apply) - Other (please specify) - Text,What is the average cost per day (in US dollars) of the international birdwatching trips you have taken?,"The next 2 questions are on a likert scale, ranked in terms of importance



When selecting an international birdwatching trip, how important is it to you that some of the birdwatching trip profits are invested in: - Local communities to improve their livelihoods","The next 2 questions are on a likert scale, ranked in terms of importance



When selecting an international birdwatching trip, how important is it to you that some of the birdwatching trip profits are invested in: - Conservation and restoration activities that benefit birds and their habitats",What is your age?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,List of Countries,What is your highest level of education completed? - Selected Choice,What is your highest level of education completed? - Other (please specify) - Text,List of Countries,How do you identify your racial or ethnic background?,What is your household annual income bracket in US dollars?,How many years of birdwatching experience do you have?,What kind of birdwatcher best describes you?,"The aim of this study is to understand the factors that affect birdwatcher decisions when selecting a birdwatching experience locally, in-country, and internationally. If you would like to add any comments regarding this topic, please write them below.",
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_9_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_9_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID28_5""}","{""ImportId"":""QID28_6""}","{""ImportId"":""QID28_7""}","{""ImportId"":""QID28_8""}","{""ImportId"":""QID28_10""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_7""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_10""}","{""ImportId"":""QID36_11""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_8_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID1317720747""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID40_TEXT""}",
9/21/2023 15:18,9/21/2023 15:19,Survey Preview,100,48,TRUE,9/21/2023 15:19,preview,EN,Yes,More than 10 times a month,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,"Hired a birdwatching guide,Stayed at a dedicated birdwatching/nature lodge,Attended a bird festival/fair",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2023 14:26,9/21/2023 14:30,IP Address,53,226,FALSE,9/21/2023 15:22,anonymous,EN,No,,,,,,,,No,,,,,,,,Don't have information about where to go,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35-44,Female,,Colombia,Doctorate (PhD) or higher,,United States of America,,,More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",,
9/25/2023 12:22,9/25/2023 12:48,IP Address,100,1508,TRUE,9/25/2023 12:48,anonymous,EN,Yes,More than 10 times a month,,,,,,,,1-5 times a year,,,,,,,,,No,"Cost,Not enough interesting birds",,Yes,,,,8,Ecuador,Israel,Australia,Brazil,South Africa,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,$200-$400,Moderately important,Moderately important,25-34,Male,,United States of America,Doctorate (PhD) or higher,,United States of America,,"$100,000 - $200,000",More than 10 years,"Hardcore birder -- highly dedicated birdwatcher often seeking to grow their personal “life list”. Goes on trips predominantly to watch birds, and other activities are secondary. Is driven by searching for rare, elusive, and endemic birds. Always brings their own specialized equipment.",testing mctest test.,
9/25/2023 12:48,9/25/2023 12:50,IP Address,100,152,TRUE,9/25/2023 12:50,anonymous,EN,No,,,,,,,,No,,,,,,,,Cost,,No,Cost,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 or above,Other (please specify),,,,,,,,Less than 1 year,"Casual birder -- enjoys bird watching while taking trips for other primary reasons (nature, culture, hobbies). Doesn’t necessarily keep a list and is mostly driven by the enjoyment of birds for their beauty or interesting features.",okay quick test.,
9/25/2023 13:17,9/25/2023 13:25,IP Address,100,509,TRUE,9/25/2023 13:25,anonymous,EN,Yes,More than 10 times a month,,,,,,,Yes,6-10 times a year,,,,,,,,,Yes,,,,,,,12,Australia,,,Brazil,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-34,,,,High school or equivalent,,,,"Over $600,000",More than 10 years,"Enthusiastic birder -- dedicated birdwatcher who enjoys watching new birds but is motivated by other things (like bird ecology, song, beauty) besides growing their personal “life list”. Goes on trips to watch birds but also enjoys other activities during their trips.",testing testing,
9/28/2023 12:23,9/28/2023 12:24,Survey Preview,100,59,TRUE,9/28/2023 12:24,preview,EN,No,,,,,,,,No,,,,,,,,Not enough interesting birds,,No,Not interested,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2023 12:24,9/28/2023 12:26,Survey Preview,100,71,TRUE,9/28/2023 12:26,preview,EN,Yes,,1,3,2,4,5,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Attended a bird festival/fair,,,,,,,,,,,,,,,More than $600,,,,,,,,,,,,,,,
9/28/2023 12:27,9/28/2023 12:28,Survey Preview,100,25,TRUE,9/28/2023 12:28,preview,EN,No,,,,,,,,No,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
